version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,team,baseline,v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815bd79d34de7d326420bb99b3072e6e8ae96464c02d4411f905fc68,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,"Đo hành vi ban đầu trước khi sửa","Baseline có prompt khuyến khích đoán identifier, gửi ngay và chỉ chọn một tool",case_accuracy,,0.65,runs/v0_B_base_openrouter_20260729T103030110043.json
v1,team,system_prompt.md,v1+p1532b45041bb+t011c271ef0bb,1532b45041bb98e7f414be4305f3074fe90a6a2a84f41d814b53b04b0a94551e,011c271ef0bbad1e19a5d7b660b2ed481b7d72950f1faa8a0798c3bdd8784ee1,"Bắt buộc hỏi lại khi thiếu account hoặc URL; không được bịa identifier","Nếu prompt yêu cầu clarify cho identifier bắt buộc thì R10 và R11 sẽ chuyển từ fail sang pass",missing_identifier_accuracy,0.0,1.0,runs/v1_B_base_openrouter_20260729T115625960375.json
v2,team,system_prompt.md,v2+p9eb0940240d5+t011c271ef0bb,9eb0940240d5ca80c88fb8b97c1318f5734e4528cf20a7971b143932cf4bab63,011c271ef0bbad1e19a5d7b660b2ed481b7d72950f1faa8a0798c3bdd8784ee1,"Thêm confirmation boundary cho hành động send/post/publish","Nếu model bị cấm tự suy diễn xác nhận và phải gọi clarify yes_no trước side effect thì R12 và G03 sẽ pass",confirmation_boundary_accuracy,0.0,1.0,"runs/v2_B_base_openrouter_20260729T115944192547.json | runs/v2_B_group_openrouter_20260729T120043831332.json"
v3,team,tools.yaml,v3+p9eb0940240d5+tca99c45695d0,9eb0940240d5ca80c88fb8b97c1318f5734e4528cf20a7971b143932cf4bab63,ca99c45695d0e51013a8f57f970d662d02cadce29fae6067d1da8fe680ddfdab,"Đánh dấu response_type, topic và timeframe là explicit required fields; mô tả rõ mapping","Nếu schema không cho model dựa vào default thì các omission còn lại của v2 sẽ biến mất",required_field_accuracy,0.0,1.0,"runs/v3_B_base_openrouter_20260729T120331931040.json | runs/v3_B_group_openrouter_20260729T120416132784.json"
